County,State,Tract_Count,Mean_Resilience,Total_Population
Maricopa County,Arizona,18,1.9847777777777778,68348
Harris County,Texas,18,1.5709444444444445,122174
Travis County,Texas,18,2.126444444444444,103918
Gwinnett County,Georgia,13,1.6035384615384616,88666
Marion County,Indiana,13,1.6771538461538462,58049
Dallas County,Texas,12,1.531,58780
Franklin County,Ohio,12,1.787,55873
Honolulu County,Hawaii,12,2.5203333333333333,42307
Tippecanoe County,Indiana,11,2.568,55788
Tarrant County,Texas,11,1.9771818181818182,58192
King County,Washington,11,1.3483636363636364,54683
Bexar County,Texas,10,2.1131,44225
Washtenaw County,Michigan,10,2.413,34677
Ingham County,Michigan,9,1.7492222222222222,32909
Brazos County,Texas,9,2.392333333333333,38943
Clarke County,Georgia,9,2.4094444444444445,37006
Lee County,Alabama,9,2.383,47620
San Diego County,California,9,1.810888888888889,42432
Wake County,North Carolina,9,1.7167777777777777,43940
Davidson County,Tennessee,8,1.64675,34270
Williamson County,Texas,7,1.7367142857142857,36992
Onslow County,North Carolina,7,2.5372857142857144,32806
Virginia Beach city,Virginia,7,2.34,30939
Richland County,South Carolina,7,1.8397142857142856,27321
Madison County,Alabama,7,1.5984285714285715,39081
Kalamazoo County,Michigan,7,2.1342857142857143,38926
Monroe County,New York,6,2.0013333333333336,33143
Lancaster County,Nebraska,6,1.7418333333333333,23511
Denton County,Texas,6,2.2826666666666666,28925
Norfolk city,Virginia,6,2.2588333333333335,22413
